Wall time,Step,Value
1712127064.0172746,730112,-42.731895446777344
1712127068.658444,730263,-40.07878875732422
1712127128.4541662,732084,-35.43306350708008
1712127146.6729205,732652,-42.053802490234375
1712127160.834082,733090,-42.84942626953125
1712127175.3293962,733515,-37.827816009521484
1712127201.8537157,734335,-39.99705123901367
1712127241.9737873,735522,-42.222991943359375
1712127260.1838272,736042,-40.091766357421875
1712127267.6818058,736275,-38.66884994506836
1712127303.4029863,737297,-39.017269134521484
1712127329.4126575,738037,-39.10893630981445
1712127332.202297,738114,-38.57582092285156
1712127339.938964,738331,-38.4958381652832
1712127347.2443783,738543,-38.85312271118164
1712127369.8555348,739193,-36.618160247802734
1712127377.464794,739407,-39.88576126098633
1712127419.4346616,740535,-38.1667594909668
1712127425.1219938,740683,-34.157039642333984
1712127442.4487832,741170,-34.0147819519043
1712127461.3061545,741683,-37.44044876098633
1712127475.0234797,742074,-36.07788848876953
1712127506.5980747,742943,-28.122705459594727
1712127519.6217346,743301,-34.627437591552734
1712127532.9799843,743679,-38.922420501708984
1712127568.1965082,744665,-37.603607177734375
1712127576.7836018,744903,-36.75933074951172
1712127590.3367288,745274,-35.78126525878906
1712127596.575048,745449,-39.0247917175293
1712127609.7997396,745823,-34.21159744262695
1712127640.1227546,746659,-34.251434326171875
1712127642.819193,746723,-34.03539276123047
1712127678.1842282,747693,-33.2655029296875
1712127695.3597739,748162,-38.401302337646484
1712127709.1717627,748543,-37.94761276245117
1712127724.3832743,748962,-30.312862396240234
1712127748.1596816,749634,-38.678611755371094
1712127751.9250557,749732,-40.5909538269043
1712127826.7550745,751749,-43.477909088134766
1712127829.4318702,751825,-44.22233200073242
1712127854.4609747,752495,-48.09185028076172
1712127858.0024822,752582,-48.0267448425293
1712127865.4189007,752787,-45.924217224121094
1712127871.5667686,752961,-42.560916900634766
1712127888.7525668,753411,-42.47642517089844
1712127895.4893653,753596,-43.8031120300293
1712127960.7278743,755336,-39.87887954711914
1712127973.639279,755683,-43.31962585449219
1712127984.5886679,755966,-34.612762451171875
1712127988.83121,756087,-36.48957824707031
1712128014.5530884,756762,-43.89177322387695
1712128025.8524394,757070,-46.84199523925781
1712128030.259482,757175,-42.57573318481445
1712128052.4869196,757776,-40.71535110473633
1712128053.8121436,757809,-40.00017547607422
1712128056.6442454,757884,-41.489051818847656
1712128072.086495,758296,-39.3094482421875
1712128095.667047,758936,-33.876708984375
1712128113.5916424,759404,-36.76008224487305
1712128124.2073226,759677,-42.57582092285156
1712128151.5024865,760402,-44.430233001708984
1712128165.1214068,760766,-45.929527282714844
1712128180.9118402,761188,-45.87337112426758
1712128195.3084025,761574,-40.12807083129883
1712128198.8413901,761667,-40.26494216918945
1712128218.6495123,762188,-44.615840911865234
1712128241.5338042,762801,-41.25727081298828
1712128270.4795005,763566,-42.4891357421875
